composer,era
Paul Dessau,20th century classical
Sabin Drăgoi,20th century classical
Kalitha Dorothy Fox,20th century classical
Wilhelm Grosz,20th century classical
Žiga Hirschler,20th century classical
Edmund Jenkins,20th century classical
Jane Joseph,20th century classical
Filip Lazăr,20th century classical
Ernest John Moeran,20th century classical
Symphony in G minor (Moeran),20th century classical
Willem Pijper,20th century classical
Atonality,20th century classical
Walter Piston,20th century classical
Władysław Raczkowski,20th century classical
Erwin Schulhoff,20th century classical
Nicolas Slonimsky,20th century classical
Albert Stoessel,20th century classical
Bernard Wagenaar,20th century classical
Peter Warlock,20th century classical
Vally Weigl,20th century classical
Mark Wessel,20th century classical
August Baeyens,20th century classical
Henriëtte Bosmans,20th century classical
Jorge Bravo de Rueda,20th century classical
Bjarne Brustad,20th century classical
Mario Castelnuovo-Tedesco,20th century classical
Juan José Castro,20th century classical
Ernest Charles,20th century classical
Georges Dandelot,20th century classical
Johann Nepomuk David,20th century classical
Nico Dostal,20th century classical
Lindley Evans,20th century classical
Jakov Gotovac,20th century classical
Paul Hindemith,20th century classical
Symphonic Metamorphosis of Themes by Carl Maria von Weber,20th century classical
Mathis der Maler,20th century classical
Ludus Tonalis,20th century classical
Gordon Jacob,20th century classical
Eva Jessye,20th century classical
Rudolf Kattnigg,20th century classical
Ernesto Lecuona,20th century classical
Ernst Levy,20th century classical
Borys Lyatoshynsky,20th century classical
Carl Orff,20th century classical
Slavko Osterc,20th century classical
Kathleen Richards,20th century classical
Dane Rudhyar,20th century classical
Boris Sobinov,20th century classical
Leo Sowerby,20th century classical
William Grant Still,20th century classical
Eduard Toldrà,20th century classical
Maria Bach,20th century classical
Erling Brene,20th century classical
František Brož,20th century classical
Shirley Graham Du Bois,20th century classical
Eduard Erdmann,20th century classical
Jacobo Ficher,20th century classical
Eclecticism,20th century classical
Roberto Gerhard,20th century classical
Howard Hanson,20th century classical
Romantic music,20th century classical
Józef Koffler,20th century classical
Viktor Kosenko,20th century classical
Dimitri Mitropoulos,20th century classical
María Teresa Prieto,20th century classical
Jean Rivier,20th century classical
Leroy Robertson,20th century classical
Roger Sessions,20th century classical
Petko Staynov,20th century classical
Bolesław Szabelski,20th century classical
George Thalben-Ball,20th century classical
Virgil Thomson,20th century classical
Four Saints in Three Acts,20th century classical
The Mother of Us All,20th century classical
Louisiana Story,20th century classical
Eclecticism in music,20th century classical
Wladimir Vogel,20th century classical
Jaromír Weinberger,20th century classical
Schwanda the Bagpiper,20th century classical
Sergei Aslamazyan,20th century classical
Břetislav Bakala,20th century classical
Paul Ben-Haim,20th century classical
Jørgen Bentzon,20th century classical
Gaspar Cassadó,20th century classical
Henry Cowell,20th century classical
António Fragoso,20th century classical
Luis Gianneo,20th century classical
Sim Gokkes,20th century classical
Yefim Golyshev,20th century classical
Hermann Heiss,20th century classical
Harrison Kerr,20th century classical
Erich Wolfgang Korngold,20th century classical
Die Tote Stadt,20th century classical
György Kósa,20th century classical
Agustín Lara,20th century classical
Theo Mackeben,20th century classical
Enrico Mainardi,20th century classical
Karl Marx,20th century classical
Benna Moe,20th century classical
Hermann Neuling,20th century classical
Fernando Obradors,20th century classical
Quincy Porter,20th century classical
Jaroslav Řídký,20th century classical
Knudåge Riisager,20th century classical
Harald Sæverud,20th century classical
Pablo Sorozábal,20th century classical
Margaret Sutherland,20th century classical
Kay Swift,20th century classical
Alexandre Tansman,20th century classical
Terig Tucci,20th century classical
Alexander Abramsky,20th century classical
Thomas Armstrong,20th century classical
Ernst Bacon,20th century classical
Edward Boatner,20th century classical
Carlton Cooley,20th century classical
Norman Demuth,20th century classical
Hanns Eisler,20th century classical
Auferstanden aus Ruinen,20th century classical
George Gershwin,20th century classical
Rhapsody in Blue,20th century classical
Piano Concerto (Gershwin),20th century classical
An American in Paris,20th century classical
Porgy and Bess,20th century classical
Barbara Giuranna,20th century classical
Ebbe Hamerik,20th century classical
Roy Harris,20th century classical
Tibor Harsányi,20th century classical
Alberto Hemsi,20th century classical
Dorothy Howell,20th century classical
Maurice Journeau,20th century classical
Lev Knipper,20th century classical
Jeanne Leleu,20th century classical
Marcel Mihalovici,20th century classical
Krapp  ou  La dernière bande,20th century classical
Günther Ramin,20th century classical
Vittorio Rieti,20th century classical
Rito Selvaggi,20th century classical
María Luisa Sepúlveda,20th century classical
Viktor Ullmann,20th century classical
Ephraim Amu,20th century classical
Georges Auric,20th century classical
William Baines,20th century classical
Mansi Barberis,20th century classical
Radie Britain,20th century classical
Carlos Chávez,20th century classical
Frederic Curzon,20th century classical
Arthur Duff,20th century classical
Sophie Carmen Eckhardt-Gramatté,20th century classical
Yusef Greiss,20th century classical
Patrick Hadley,20th century classical
Pavel Haas,20th century classical
Eduardo Hernández Moncada,20th century classical
Finn Høffding,20th century classical
Albert Huybrechts,20th century classical
Hans Krása,20th century classical
Ricard Lamote de Grignon,20th century classical
Jón Leifs,20th century classical
Edda,20th century classical
Marcelle de Manziarly,20th century classical
Harl McDonald,20th century classical
George Frederick McKay,20th century classical
Duke Ellington,20th century classical
Francis Poulenc,20th century classical
Silvestre Revueltas,20th century classical
Homenaje a Federico García Lorca,20th century classical
Sensemayá,20th century classical
Musical nationalism,20th century classical
Music and politics,20th century classical
Herbert Sumsion,20th century classical
Alexander Tcherepnin,20th century classical
Randall Thompson,20th century classical
Pancho Vladigerov,20th century classical
Evald Aav,20th century classical
Kai Normann Andersen,20th century classical
George Antheil,20th century classical
Ballet mécanique,20th century classical
Avant-garde,20th century classical
Henry Barraud,20th century classical
Willy Burkhard,20th century classical
Alan Bush,20th century classical
Lola Castegnaro,20th century classical
Niels Clemmensen,20th century classical
Aaron Copland,20th century classical
Isaak Dunayevsky,20th century classical
Pierre-Octave Ferroud,20th century classical
Isadore Freed,20th century classical
Grigori Gamburg,20th century classical
Hector Gratton,20th century classical
Gotfrid Hasanov,20th century classical
Hans Haug,20th century classical
Michael Head,20th century classical
Maurice Jaubert,20th century classical
Yasuji Kiyose,20th century classical
Uuno Klami,20th century classical
Paul Kletzki,20th century classical
Ernst Krenek,20th century classical
Jonny spielt auf,20th century classical
Karl V,20th century classical
Otto Luening,20th century classical
Colin McPhee,20th century classical
Alexander Mosolov,20th century classical
Iron Foundry,20th century classical
Avant-garde,20th century classical
Henri Pensis,20th century classical
Fred Raymond,20th century classical
Hermann Reutter,20th century classical
Amadeo Roldán,20th century classical
Franz Salmhofer,20th century classical
Hans Schimmerling,20th century classical
Bernd Scholz,20th century classical
Leo Smit,20th century classical
Marko Tajčević,20th century classical
Zdenka Ticharich,20th century classical
Elinor Remick Warren,20th century classical
Kurt Weill,20th century classical
Die Dreigroschenoper,20th century classical
Rise and Fall of the City of Mahagonny,20th century classical
Mahagonny-Songspiel,20th century classical
Walther Aeschbacher,20th century classical
Karel Albert,20th century classical
Blaž Arnič,20th century classical
Conrad Beck,20th century classical
Ruth Crawford Seeger,20th century classical
Gerald Finzi,20th century classical
Lillian Fuchs,20th century classical
Eivind Groven,20th century classical
Povl Hamburger,20th century classical
Victor Hely-Hutchinson,20th century classical
Emil Hlobil,20th century classical
Dorothy James,20th century classical
Olav Kielland,20th century classical
Boris Koutzen,20th century classical
Rudolf Matz,20th century classical
William McKie,20th century classical
Dimitar Nenov,20th century classical
Harry Partch,20th century classical
Microtonal,20th century classical
Just intonation,20th century classical
Juan Carlos Paz,20th century classical
Marcel Poot,20th century classical
Bernard Reichel,20th century classical
Joaquín Rodrigo,20th century classical
Concierto de Aranjuez,20th century classical
Heinz Eric Roemheld,20th century classical
Kjell Roikjer,20th century classical
Edmund Rubbra,20th century classical
Henri Sauguet,20th century classical
Henri Tomasi,20th century classical
Emmy Wegener,20th century classical
Werner Egk,20th century classical
Jesús Arámbarri,20th century classical
Theodore Chanler,20th century classical
Maurice Duruflé,20th century classical
Vladimir Fere,20th century classical
Evaristo Fernández Blanco,20th century classical
Lūcija Garūta,20th century classical
Antonio José,20th century classical
Helvi Leiviskä,20th century classical
Lino Liviabella,20th century classical
Jiro Nakano,20th century classical
Vissarion Shebalin,20th century classical
Andriy Shtoharenko,20th century classical
Veselin Stoyanov,20th century classical
Jenő Takács,20th century classical
Rose Thisse-Derouette,20th century classical
Antonio María Valencia,20th century classical
John Vincent,20th century classical
William Walton,20th century classical
Meredith Willson,20th century classical
Stefan Wolpe,20th century classical
Claude Arrieu,20th century classical
Lennox Berkeley,20th century classical
Boris Blacher,20th century classical
Abram Chasins,20th century classical
Tudor Ciortea,20th century classical
Rhoda Coghill,20th century classical
Avril Coleridge-Taylor,20th century classical
Hugo Distler,20th century classical
Vernon Duke,20th century classical
André Fleury,20th century classical
Vittorio Giannini,20th century classical
Walter Goehr,20th century classical
Berthold Goldschmidt,20th century classical
Hilding Hallnäs,20th century classical
He Luting,20th century classical
Vladimir Horowitz,20th century classical
Jens Bjerre Jacobsen,20th century classical
Aram Khachaturian,20th century classical
Mykola Kolessa,20th century classical
Marc Lavry,20th century classical
Leighton Lucas,20th century classical
Robin Milford,20th century classical
Saburō Moroi,20th century classical
Ervin Nyíregyházi,20th century classical
Carl Gustav Sparre Olsen,20th century classical
Flor Peeters,20th century classical
Mario Pilati,20th century classical
Thomas Pitfield,20th century classical
Priaulx Rainier,20th century classical
Günter Raphael,20th century classical
Luis H. Salgado,20th century classical
Åke Uddén,20th century classical
Vladimir Vlasov,20th century classical
Rudolf Wagner-Régeny,20th century classical
Prometheus (opera),20th century classical
Percy Whitlock,20th century classical
Richard Addinsell,20th century classical
Warsaw Concerto,20th century classical
Joseph Ahrens,20th century classical
Herbert Kennedy Andrews,20th century classical
John Antill,20th century classical
Jean Berveiller,20th century classical
Walter Bricht,20th century classical
Erik Chisholm,20th century classical
Karl Clausen,20th century classical
Luigi Dallapiccola,20th century classical
Il prigioniero,20th century classical
Il canto sospeso,20th century classical
Serialism,20th century classical
Electronic music,20th century classical
Balys Dvarionas,20th century classical
Kunihiko Hashimoto,20th century classical
Dmitry Kabalevsky,20th century classical
Tadeusz Kassern,20th century classical
Iša Krejčí,20th century classical
Goffredo Petrassi,20th century classical
Gavriil Popov,20th century classical
Cemal Reşit Rey,20th century classical
Manuel Rosenthal,20th century classical
Theodor Schaefer,20th century classical
Hermann Schroeder,20th century classical
Nikos Skalkottas,20th century classical
Twelve-tone technique,20th century classical
Franz Syberg,20th century classical
Jack Westrup,20th century classical
Aleksey Zhivotov,20th century classical
Heikki Aaltoila,20th century classical
William Alwyn,20th century classical
Boris Arapov,20th century classical
Atonality,20th century classical
Albert Arlen,20th century classical
Paul Arma,20th century classical
Vytautas Bacevičius,20th century classical
Atonality,20th century classical
Marc Blitzstein,20th century classical
The Cradle Will Rock,20th century classical
Music and politics,20th century classical
Eugène Bozza,20th century classical
Mario Braggiotti,20th century classical
Yevgeny Brusilovsky,20th century classical
Francis Chagrin,20th century classical
Ulric Cole,20th century classical
Christian Darnton,20th century classical
Ferenc Farkas,20th century classical
Karl Amadeus Hartmann,20th century classical
André Hossein,20th century classical
André Jolivet,20th century classical
Erich Itor Kahn,20th century classical
Taneli Kuusisto,20th century classical
Constant Lambert,20th century classical
Guillaume Landré,20th century classical
Walter Leigh,20th century classical
Ernst Hermann Meyer,20th century classical
Léon Orthel,20th century classical
Alan Rawsthorne,20th century classical
Luis Sandi,20th century classical
Giacinto Scelsi,20th century classical
Verdina Shlonsky,20th century classical
Polystylism,20th century classical
Daniel Sternefeld,20th century classical
Michael Tippett,20th century classical
Eduard Tubin,20th century classical
Xian Xinghai,20th century classical
Yellow River Cantata,20th century classical
Xiao Shuxian,20th century classical
Winfried Zillig,20th century classical
Murray Adaskin,20th century classical
Ahn Eak-tai,20th century classical
Aegukga,20th century classical
Hasan Ferit Alnar,20th century classical
Daniel Ayala Pérez,20th century classical
Andria Balanchivadze,20th century classical
Franz Biebl,20th century classical
Walter Braithwaite,20th century classical
Pierre Capdevielle,20th century classical
Bernhard Christensen,20th century classical
Alessandro Cicognini,20th century classical
Milo Cipra,20th century classical
Arnold Cooke,20th century classical
Paul Creston,20th century classical
Volfgangs Dārziņš,20th century classical
Claire Delbos,20th century classical
Antal Doráti,20th century classical
Klaus Egge,20th century classical
Will Eisenmann,20th century classical
Ulvi Cemal Erkin,20th century classical
Eric Fenby,20th century classical
Armando José Fernandes,20th century classical
Benjamin Frankel,20th century classical
Giovanni Fusco,20th century classical
Alejandro García Caturla,20th century classical
Zoltán Gárdonyi,20th century classical
Miriam Gideon,20th century classical
Radamés Gnattali,20th century classical
Philip Herschkowitz,20th century classical
Willy Hess,20th century classical
Joaquim Homs,20th century classical
Tomojirō Ikenouchi,20th century classical
Jānis Ivanovs,20th century classical
Neoromanticism,20th century classical
Maxime Jacob,20th century classical
Jaroslav Ježek,20th century classical
Eugen Kapp,20th century classical
Jacques Leguerney,20th century classical
Oscar Levant,20th century classical
Zara Levina,20th century classical
Normand Lockwood,20th century classical
Elisabeth Lutyens,20th century classical
Abdylas Maldybaev,20th century classical
Peter Mieg,20th century classical
Alexander Moyzes,20th century classical
Willson Osborne,20th century classical
Carmelo Pace,20th century classical
Boris Papandopulo,20th century classical
Ludovit Rajter,20th century classical
Dmitri Shostakovich,20th century classical
Berta Alves de Sousa,20th century classical
Leopold Spinner,20th century classical
Louise Talma,20th century classical
Teng Yu-hsien,20th century classical
Johannes Paul Thilman,20th century classical
David Van Vactor,20th century classical
Grace Williams,20th century classical
Lora Aborn,20th century classical
Kurken Alemshah,20th century classical
Henk Badings,20th century classical
Günter Bialas,20th century classical
Yvonne Desportes,20th century classical
Roy Douglas,20th century classical
Fred Elizalde,20th century classical
Wolfgang Fortner,20th century classical
Koharik Gazarossian,20th century classical
Camargo Guarnieri,20th century classical
Gene Gutchë,20th century classical
Heinz Friedrich Hartig,20th century classical
Karl Höller,20th century classical
Imogen Holst,20th century classical
Jeronimas Kačinskas,20th century classical
Walter Kaufmann,20th century classical
Jean Langlais,20th century classical
Elizabeth Maconchy,20th century classical
Yoritsune Matsudaira,20th century classical
Otto Mortensen,20th century classical
Zygmunt Mycielski,20th century classical
Roman Palester,20th century classical
Ödön Pártos,20th century classical
Maria Teresa Pelegrí i Marimón,20th century classical
Burrill Phillips,20th century classical
Hisato Ohzawa,20th century classical
Willem van Otterloo,20th century classical
Miklós Rózsa,20th century classical
Tolibjon Sadikov,20th century classical
Ahmed Adnan Saygun,20th century classical
Martin Scherber,20th century classical
Howard Swanson,20th century classical
Václav Trojan,20th century classical
Georges Tzipine,20th century classical
Alec Wilder,20th century classical
Necil Kazım Akses,20th century classical
Leroy Anderson,20th century classical
Sleigh Ride,20th century classical
Blue Tango,20th century classical
Menachem Avidom,20th century classical
Jan Zdeněk Bartoš,20th century classical
Joseph Beer,20th century classical
Roberta Bitgood,20th century classical
Elliott Carter,20th century classical
Jean Coulthard,20th century classical
Jean-Yves Daniel-Lesur,20th century classical
Gustav Ernesaks,20th century classical
Howard Ferguson,20th century classical
Gunnar de Frumerie,20th century classical
Helen Glatz,20th century classical
Irwin Heilner,20th century classical
Kurt Hessenberg,20th century classical
Miloslav Kabeláč,20th century classical
Herman David Koppel,20th century classical
Lars-Erik Larsson,20th century classical
Joan Mary Last,20th century classical
Nina Makarova,20th century classical
Lucien Martin,20th century classical
Olivier Messiaen,20th century classical
Vano Muradeli,20th century classical
Trude Rittmann,20th century classical
Alice Samter,20th century classical
Julian Scriabin,20th century classical
Halsey Stevens,20th century classical
Eugen Suchoň,20th century classical
Jonas Švedas,20th century classical
Sidney Torch,20th century classical
Geirr Tveitt,20th century classical
William Wordsworth,20th century classical
Lorenc Antoni,20th century classical
Isabel Aretz,20th century classical
Grażyna Bacewicz,20th century classical
Gunnar Berg,20th century classical
Jean Berger,20th century classical
Paul Constantinescu,20th century classical
Václav Dobiáš,20th century classical
Jaroslav Doubrava,20th century classical
Maria Dziewulska,20th century classical
Harald Genzmer,20th century classical
Isador Goodman,20th century classical
Richard de Guide,20th century classical
Vagn Holmboe,20th century classical
Neoclassicism,20th century classical
Angelo Francesco Lavagnino,20th century classical
Primitivo Lázaro,20th century classical
Ljubica Marić,20th century classical
Charles Naginski,20th century classical
Paul Nordoff,20th century classical
Robin Orr,20th century classical
Kurt Schwaen,20th century classical
Elie Siegmeister,20th century classical
Wikipedia:Vagueness,20th century classical
Wikipedia:Vagueness,20th century classical
Todor Skalovski,20th century classical
Ādolfs Skulte,20th century classical
Ignace Strasfogel,20th century classical
Dana Suesse,20th century classical
Asaf Zeynally,20th century classical
Erkki Aaltonen,20th century classical
Samuel Barber,20th century classical
Willy Berking,20th century classical
Herman Berlinski,20th century classical
Miguel Bernal Jiménez,20th century classical
Ronald Binge,20th century classical
Patricia Blomfield Holt,20th century classical
Paul Bowles,20th century classical
Henri Challan,20th century classical
Salvador Contreras,20th century classical
Francis Judd Cooke,20th century classical
Farid al-Atrash,20th century classical
Blas Galindo,20th century classical
Remo Giazotto,20th century classical
Adagio in G minor,20th century classical
Albinoni,20th century classical
Evgeny Golubev,20th century classical
Bernhard Heiden,20th century classical
Gerard Hengeveld,20th century classical
Mohamed Jamoussi,20th century classical
Jiang Wen-Ye,20th century classical
Otto Joachim,20th century classical
Charles Jones,20th century classical
Abu Bakr Khairat,20th century classical
Erland von Koch,20th century classical
Pierre Lantier,20th century classical
Rolf Liebermann,20th century classical
Jean Martinon,20th century classical
Paule Maurice,20th century classical
Alfred Mendelssohn,20th century classical
H. Owen Reed,20th century classical
William Reed,20th century classical
Karel Reiner,20th century classical
Pierre Schaeffer,20th century classical
Musique concrète,20th century classical
Friedrich Schroder,20th century classical
William Schuman,20th century classical
New England Triptych,20th century classical
Meinrad Schütter,20th century classical
Leon Stein,20th century classical
Robert Still,20th century classical
Soulima Stravinsky,20th century classical
Heinrich Sutermeister,20th century classical
Josef Tal,20th century classical
Stanley Vann,20th century classical
Jehan Alain,20th century classical
René Amengual,20th century classical
José Ardévol,20th century classical
Atonality,20th century classical
Stanley Bate,20th century classical
Jeanne Behrend,20th century classical
Paul Burkhard,20th century classical
Ján Cikker,20th century classical
Gábor Darvas,20th century classical
Electronic music,20th century classical
Mark Fax,20th century classical
Roberto García Morillo,20th century classical
Jean-Jacques Grunenwald,20th century classical
Bernard Herrmann,20th century classical
Wuthering Heights,20th century classical
Alan Hovhaness,20th century classical
Kikuko Kanai,20th century classical
Jan Koetsier,20th century classical
Vilho Luolajan-Mikkola,20th century classical
Frederick May,20th century classical
Robert McBride,20th century classical
Gian Carlo Menotti,20th century classical
Anne-Marie Ørbeck,20th century classical
Allan Pettersson,20th century classical
Eduard Pütz,20th century classical
Franz Reizenstein,20th century classical
Nino Rota,20th century classical
Ananda Samarakoon,20th century classical
Endre Szervánszky,20th century classical
Władysław Szpilman,20th century classical
Vladimir Ussachevsky,20th century classical
Hans Vogt (composer),20th century classical
Eberhard Werdin,20th century classical
Bojan Adamič,20th century classical
Mukhtar Ashrafi,20th century classical
Wayne Barlow,20th century classical
Arthur Berger,20th century classical
John Cage,20th century classical
Ingolf Dahl,20th century classical
Alfred Desenclos,20th century classical
Rudolf George Escher,20th century classical
Arkady Filippenko,20th century classical
Jean Françaix,20th century classical
Don Gillis,20th century classical
Peggy Glanville-Hicks,20th century classical
Carlos Guastavino,20th century classical
Johana Harris,20th century classical
Gisela Hernández,20th century classical
Robert Hughes,20th century classical
Daniel Jones,20th century classical
Sirvart Kalpakyan Karamanuk,20th century classical
Ma Sicong,20th century classical
Igor Markevitch,20th century classical
Tauno Marttinen,20th century classical
José Pablo Moncayo,20th century classical
Xavier Montsalvatge,20th century classical
Conlon Nancarrow,20th century classical
Nie Er,20th century classical
Barbara Pentland,20th century classical
Zoltán Pongrácz,20th century classical
Vadim Salmanov,20th century classical
Jadwiga Szajna-Lewandowska,20th century classical
Jiří Traxler,20th century classical
Günter Wand,20th century classical
Milton Adolphus,20th century classical
Violet Archer,20th century classical
Anatoly Bogatyrev,20th century classical
Musical nationalism,20th century classical
Margaret Bonds,20th century classical
Henry Brant,20th century classical
Spatial music,20th century classical
Benjamin Britten,20th century classical
War Requiem,20th century classical
Sinfonia da Requiem,20th century classical
Peter Grimes,20th century classical
The Young Person's Guide to the Orchestra,20th century classical
Cello Symphony,20th century classical
Merton Brown,20th century classical
Storm Bull,20th century classical
Matilde Capuis,20th century classical
Ronald Center,20th century classical
Peggy Stuart Coolidge,20th century classical
Gyula Dávid,20th century classical
Norman Dello Joio,20th century classical
František Domažlický,20th century classical
Alvin Etler,20th century classical
Ernest van der Eyken,20th century classical
Vivian Fine,20th century classical
Morton Gould,20th century classical
Raymond Hanson,20th century classical
Hans Henkemans,20th century classical
Dulcie Holland,20th century classical
Miriam Hyde,20th century classical
Jørgen Jersild,20th century classical
Kent Kennan,20th century classical
Tikhon Khrennikov,20th century classical
René Leibowitz,20th century classical
George Lloyd,20th century classical
Witold Lutosławski,20th century classical
Jeux vénitiens,20th century classical
Aleatoric music,20th century classical
Aleksandr Machavariani,20th century classical
Jerome Moross,20th century classical
Maurice Ohana,20th century classical
Willy Ostijn,20th century classical
Gardner Read,20th century classical
Svend S. Schultz,20th century classical
Constantin Silvestri,20th century classical
Raimond Valgre,20th century classical
Valery Zhelobinsky,20th century classical
Carl-Olof Anderberg,20th century classical
Cacilda Borges Barbosa,20th century classical
Dimitris Dragatakis,20th century classical
Cecil Effinger,20th century classical
Irving Fine,20th century classical
Serialism,20th century classical
Roger Goeb,20th century classical
Cor de Groot,20th century classical
Alexei Haieff,20th century classical
Hermann Haller,20th century classical
Fumio Hayasaka,20th century classical
Akira Ifukube,20th century classical
Dezider Kardoš,20th century classical
Rafael Kubelík,20th century classical
Gail Kubik,20th century classical
Ludwig Lenel,20th century classical
William Lloyd Webber,20th century classical
Riccardo Malipiero,20th century classical
Atonality,20th century classical
Twelve-tone technique,20th century classical
Ismail Marzuki,20th century classical
Wilfrid Mellers,20th century classical
Josef Páleníček,20th century classical
Andrzej Panufnik,20th century classical
Teresa Rampazzi,20th century classical
Stjepan Sulek,20th century classical
Harold Truscott,20th century classical
Josée Vigneron-Ramackers,20th century classical
Haim Alexander,20th century classical
David Ashkenazi,20th century classical
Esther Ballou,20th century classical
Alexander Brott,20th century classical
David Diamond,20th century classical
Grigory Frid,20th century classical
Alojz Geržinič,20th century classical
Sembiin Gonchigsumlaa,20th century classical
Ebbe Grims-land,20th century classical
Júlia Hajdú,20th century classical
Pamela Harrison,20th century classical
Najla Jabor,20th century classical
Vítězslava Kaprálová,20th century classical
Eunice Katunda,20th century classical
Homer Keller,20th century classical
Dorian Le Gallienne,20th century classical
Vic Legley,20th century classical
Douglas Lilburn,20th century classical
Knut Nystedt,20th century classical
Robert Moffat Palmer,20th century classical
George Perle,20th century classical
Vincent Persichetti,20th century classical
Dimitar Sagaev,20th century classical
Gösta Schwarck,20th century classical
John Serry  Sr.,20th century classical
American Rhapsody,20th century classical
Concerto For Free Bass Accordion,20th century classical
Robert Strassburg,20th century classical
Carlos Surinach,20th century classical
Georgy Sviridov,20th century classical
Earl Wild,20th century classical
Joseph R. Wood,20th century classical
Jan Håkan Åberg,20th century classical
Rostom Aramovic Alagian,20th century classical
Gaston Allaire,20th century classical
Denis ApIvor,20th century classical
Milton Babbitt,20th century classical
Composition for Four Instruments,20th century classical
Philip Bezanson,20th century classical
Karl-Birger Blomdahl,20th century classical
Modernism,20th century classical
Valentino Bucchi,20th century classical
Mutal Burhonov,20th century classical
Henri Dutilleux,20th century classical
Timbres  espace  mouvement,20th century classical
Helmut Eder,20th century classical
Merrill Leroy Ellis,20th century classical
Einar Englund,20th century classical
Alberto Ginastera,20th century classical
Bomarzo (opera),20th century classical
Cinco canciones populares argentinas,20th century classical
Danzas Argentinas,20th century classical
Douglas Guest,20th century classical
Luis Herrera de la Fuente,20th century classical
Malcolm MacDonald,20th century classical
Carin Malmlöf-Forssling,20th century classical
Warren Martin,20th century classical
Veli Mukhatov,20th century classical
Nydia Pereyra-Lizaso,20th century classical
Nikolay Peyko,20th century classical
Jan Rychlík,20th century classical
Zikmund Schul,20th century classical
Mordechai Seter,20th century classical
Bernard Stevens,20th century classical
Irwin Swack,20th century classical
Erna Tauro,20th century classical
Guido Turchi,20th century classical
Arnold van Wyk,20th century classical
Els Aarne,20th century classical
Richard Arnell,20th century classical
Brian Boydell,20th century classical
Rudolf Brucci,20th century classical
Anthony Burgess,20th century classical
Edward T. Cone,20th century classical
Roque Cordero,20th century classical
Ivor Darreg,20th century classical
Microtone,20th century classical
Xenharmonic,20th century classical
Robert Erickson,20th century classical
Twelve tone,20th century classical
Extended technique,20th century classical
Robert Farnon,20th century classical
Light music,20th century classical
John Gardner,20th century classical
Tomorrow Shall Be My Dancing Day,20th century classical
Pietro Grossi,20th century classical
Egil Harder,20th century classical
Lou Harrison,20th century classical
Prenkë Jakova,20th century classical
Hilda Jerea,20th century classical
Václav Kašlík,20th century classical
Rena Kyriakou,20th century classical
Antonio Lauro,20th century classical
Clarisse Leite,20th century classical
Emanuel Leplin,20th century classical
Dinu Lipatti,20th century classical
José Maceda,20th century classical
Jean-Etienne Marie,20th century classical
Oskar Morawetz,20th century classical
Geraldine Mucha,20th century classical
James Penberthy,20th century classical
Tarateño Rojas,20th century classical
Reginald Smith Brindle,20th century classical
Maj Sønstevold,20th century classical
Eta Tyrmand,20th century classical
Robert Ward,20th century classical
Richard Yardumian,20th century classical
Isang Yun,20th century classical
Olivier Alain,20th century classical
Louis Applebaum,20th century classical
Jürg Baur,20th century classical
Serialism,20th century classical
Musical quotation,20th century classical
Leonard Bernstein,20th century classical
Lorne Betts,20th century classical
Lina Pires de Campos,20th century classical
Gayane C'ebotaryan,20th century classical
Liviu Comes,20th century classical
Philip Cranmer,20th century classical
Robert Docker,20th century classical
Gottfried von Einem,20th century classical
Dantons Tod,20th century classical
Der Besuch der alten Dame,20th century classical
Eclecticism in music,20th century classical
Raymond Gallois-Montbrun,20th century classical
Gara Garayev,20th century classical
Harold Gramatges,20th century classical
Lucrecia Roces Kasilag,20th century classical
Marcelo Koc,20th century classical
Lila Lalauni,20th century classical
Leonard B. Meyer,20th century classical
Anthony A. Mitchell,20th century classical
Arie Van de Moortel,20th century classical
A. J. Potter,20th century classical
Godfrey Ridout,20th century classical
George Rochberg,20th century classical
Denise Tolkowsky,20th century classical
Jórunn Viðar,20th century classical
Bernd Alois Zimmermann,20th century classical
Die Soldaten,20th century classical
Serialism,20th century classical
Sound collage,20th century classical
Electronic music,20th century classical
Eclecticism in music,20th century classical
Polystylism,20th century classical
István Anhalt,20th century classical
Bülent Arel,20th century classical
Jacob Avshalomov,20th century classical
Sven-Erik Bäck,20th century classical
Bernard Barrell,20th century classical
Niels Viggo Bentzon,20th century classical
Karel Berman,20th century classical
Roslyn Brogue,20th century classical
Ota Čermák,20th century classical
John W. Duarte,20th century classical
Eleonora Eksanishvili,20th century classical
Ludmila Frajt,20th century classical
Udo Kasemets,20th century classical
Leif Kayser,20th century classical
Talivaldis Kenins,20th century classical
Leon Kirchner,20th century classical
Gideon Klein,20th century classical
Li Huanzhi,20th century classical
Václav Nelhýbel,20th century classical
Juan Orrego-Salas,20th century classical
Jiří Pauer,20th century classical
Rezső Sugár,20th century classical
Helen Tobias-Duesberg,20th century classical
Akihiro Tsukiyama,20th century classical
Galina Ustvolskaya,20th century classical
Harold Van Heuvelen,20th century classical
Roman Vlad,20th century classical
Mieczysław Weinberg,20th century classical
John Worley,20th century classical
Alexander Arutiunian,20th century classical
Bebe Barron,20th century classical
Electronic music,20th century classical
José Antonio Bottiroli,20th century classical
Dave Brubeck,20th century classical
Geoffrey Bush,20th century classical
Henri Crolla,20th century classical
Rolande Falcinelli,20th century classical
Dorothea Anne Franchi,20th century classical
Peter Racine Fricker,20th century classical
Jacob Gilboa,20th century classical
Karen Khachaturian,20th century classical
Earl Kim,20th century classical
